Time,T1_Balance,T2_Balance,T3_Balance,T4_Balance,Dispatcher_Revenue,Active_Taxis
0,255,255,255,255,0,4
1,254,254,254,254,0,4
2,253,253,253,253,0,4
3,252,252,252,252,0,4
4,251,251,251,251,0,4
5,250,250,250,250,0,4
6,249,249,249,249,0,4
7,248,248,248,248,0,4
8,247,247,247,247,0,4
9,246,246,246,246,0,4
10,245,245,245,245,0,4
11,244,244,244,244,0,4
12,243,243,243,243,0,4
13,242,242,242,242,0,4
14,241,241,241,241,0,4
15,240,240,240,240,0,4
16,239,239,239,239,0,4
17,238,238,238,238,0,4
18,237,237,237,237,0,4
19,236,236,236,236,0,4
20,235,235,235,235,0,4
21,234,234,234,234,0,4
22,233,233,233,233,0,4
23,232,232,232,232,0,4
24,231,231,231,231,0,4
25,230,230,230,230,0,4
26,229,229,229,229,0,4
27,228,228,228,228,0,4
28,227,227,227,227,0,4
29,226,226,226,226,0,4
30,225,225,225,225,0,4
31,224,224,224,224,0,4
32,223,223,223,223,0,4
33,222,222,222,222,0,4
34,221,221,221,221,0,4
35,220,220,220,220,0,4
36,219,219,219,219,0,4
37,218,218,218,218,0,4
38,217,217,217,217,0,4
39,216,216,216,216,0,4
40,215,215,215,215,0,4
41,214,214,214,214,0,4
42,213,213,213,213,0,4
43,212,212,212,212,0,4
44,211,211,211,211,0,4
45,210,210,210,210,0,4
46,209,209,209,209,0,4
47,208,208,208,208,0,4
48,207,207,207,207,0,4
49,206,206,206,206,0,4
50,205,205,205,205,0,4
51,204,204,204,204,0,4
52,203,203,203,203,0,4
53,202,202,202,202,0,4
54,201,201,201,201,0,4
55,200,200,200,200,0,4
56,199,199,199,199,0,4
57,198,198,230.0,198,0,4
58,197,197,229.0,197,0,4
59,196,196,228.0,196,0,4
60,195,195,227.0,195,0,4
61,194,194,226.0,194,0,4
62,193,193,225.0,233.0,0,4
63,192,192,224.0,232.0,0,4
64,191,191,223.0,231.0,0,4
65,190,190,222.0,230.0,0,4
66,189,189,221.0,229.0,0,4
67,188,188,220.0,228.0,0,4
68,187,187,219.0,227.0,0,4
69,186,186,218.0,226.0,0,4
70,185,185,217.0,225.0,0,4
71,184,184,216.0,224.0,0,4
72,183,183,215.0,223.0,0,4
73,182,182,214.0,222.0,0,4
74,181,181,213.0,221.0,0,4
75,180,180,212.0,220.0,0,4
76,179,179,211.0,219.0,0,4
77,178,178,210.0,218.0,0,4
78,177,177,209.0,217.0,0,4
79,176,176,208.0,216.0,0,4
80,175,175,207.0,215.0,0,4
81,174,174,206.0,214.0,0,4
82,173,173,205.0,213.0,0,4
83,172,172,204.0,212.0,0,4
84,171,171,203.0,211.0,0,4
85,170,170,202.0,210.0,0,4
86,169,169,201.0,209.0,0,4
87,168,168,200.0,208.0,0,4
88,167,167,199.0,207.0,0,4
89,166,166,198.0,206.0,0,4
90,165,165,197.0,205.0,0,4
91,164,164,196.0,204.0,0,4
92,163,163,195.0,203.0,0,4
93,162,162,194.0,202.0,0,4
94,161,161,193.0,201.0,0,4
95,160,160,192.0,200.0,0,4
96,159,159,191.0,199.0,0,4
97,158,158,190.0,198.0,0,4
98,157,157,189.0,197.0,0,4
99,156,156,188.0,196.0,0,4
100,155,155,187.0,195.0,0,4
101,154,154,186.0,194.0,0,4
102,153,153,185.0,193.0,0,4
103,152,152,184.0,192.0,0,4
104,151,151,183.0,191.0,0,4
105,150,150,182.0,190.0,0,4
106,149,149,181.0,189.0,0,4
107,148,148,180.0,188.0,0,4
108,147,147,179.0,187.0,0,4
109,146,146,178.0,186.0,0,4
